Excitation Wavelength (nm),Par Avg,Perp Avg,Perp Corrected,Anisotropy,Relative Energy (eV)
526,91870.72430814874,105453.47400213583,93316.97989469205,-0.005192930924051634,0.23048477456971606
527,92090.69904894955,105534.36139917253,93197.75423019355,-0.003975260359013937,0.22601150237110268
528,92964.70089887433,106105.50837858961,93400.14913111611,-0.001556478592917252,0.22155517438536299
529,92430.83335350965,105766.92860005973,92941.9163233204,-0.0018363493996054064,0.21711569452055235
530,92445.9396971385,105801.26489639426,93104.09404921185,-0.002361904190259175,0.21269296740994825
531,91519.87210890617,104647.63278363692,92438.20402764317,-0.003322519095378056,0.2082868984052224
532,90700.67234285625,104312.20586608209,92112.8780308829,-0.005136667639490218,0.2038973935696875
533,89961.46192716886,103021.75032544816,90800.84143543238,-0.0030909183530327,0.1995243596716212
534,88679.11391434894,101664.15775156883,89965.3953015429,-0.004788659560059033,0.19516770417766782
535,87475.27718783154,100425.54332464522,88853.1477857489,-0.005195951527023587,0.19082733524630857
536,85849.1127951028,99044.70994223157,87463.91203082066,-0.006192262456878758,0.18650316172140968
537,84856.67188051339,97473.72951044762,85716.05104932626,-0.0033531674270006447,0.18219509312584004
538,82189.03002405904,95598.38958621354,84097.81520191507,-0.00762341101325478,0.17790303965516108
539,80901.81220670181,93124.31948713955,81823.16501095175,-0.003767572290075511,0.17362691217138648
540,78775.77642484024,90824.0613756735,79988.14805994528,-0.005077952296635658,0.16936662219681065
541,76891.18548453596,88366.51095197181,77615.43048425378,-0.0031201043191919652,0.16512208190790822
542,74644.99986712528,86448.86302261105,75962.99193363334,-0.005817126468644072,0.16089320412929675
543,72492.53778783335,83671.16759179799,73638.16267173004,-0.005212862584688674,0.1566799023277703
544,70061.98730257279,81275.8583203842,71529.43602083465,-0.0068855236544048196,0.15248209060639661
545,67658.02559932279,77888.86849216084,68189.50450913807,-0.002604815889484807,0.14829968369867963
546,65708.3037533234,75652.28455704878,66688.99004894207,-0.004925936014515239,0.14413259696278535
547,63047.42216345735,72985.67960571808,63870.92694527242,-0.0043163053964415735,0.13998074637583446
548,61301.3579603287,70880.06752563243,62975.589284386544,-0.008941034151479408,0.13584404852825172
549,59217.030797289226,69255.60953263598,60858.02856781244,-0.009069638888447317,0.13172242061818284
550,58126.628621388,67403.90694355466,59204.71915108673,-0.0061069137229931006,0.12761578044596877
551,57222.02217348308,66414.16070258734,58236.08584774491,-0.005838212847959639,0.12352404640868153
552,56620.961200781596,66180.89770056233,58300.315190598936,-0.009694830618286769,0.11944713749471747
553,56986.66337960042,65729.12051857538,57557.068276314516,-0.003314365168196285,0.1153849732784531
554,57434.34252770536,66815.81111484759,59366.72382664801,-0.010968981883449015,0.11133747391495463
555,59232.23739965297,68047.60297410205,60103.35481138996,-0.0048546730026680545,0.10730456013474843
556,60860.72346142795,70198.36149156415,60807.90762259767,0.0002894390654526733,0.10328615323864376
557,63438.264862127966,73349.38269358625,65055.459562155986,-0.008355471548468633,0.09928217509261472
558,67096.14253955998,77929.7681620939,68250.62297615629,-0.005670408865005616,0.09529254812273669
559,70722.45969958672,82018.07001288536,72888.91395777756,-0.01000670383423235,0.09131719531017435
560,74541.8824486008,86676.75600198383,76812.70551935998,-0.009952447767827758,0.08735604018622878
561,78952.41616168112,92158.65922985013,80389.72396304346,-0.005995480854543949,0.08340900682743069
562,84492.1099754992,97744.50671993481,84235.29774323152,0.0010152177642102885,0.0794760198506923
563,89684.31797084429,103500.09916463023,90473.41602134443,-0.0029157694909129114,0.07555700440850721
564,94969.48056911367,110656.14046581715,97129.7483846428,-0.007469057337922257,0.07165188618420215
565,100835.7905708047,116740.21887554173,103808.83736262053,-0.00963855857142785,0.06776059138723989
566,106116.84521922734,122462.19668729798,109332.22920742276,-0.009900151123902603,0.06388304674857093
567,110704.8662348497,127950.52597379731,113725.11624427311,-0.008931552476438974,0.060019179516034527
568,115836.24529314917,133602.3217193852,120040.09899625105,-0.01181135005815944,0.05616891744981034
569,120414.2448689209,138341.14125401023,122450.60475861719,-0.005574250596975204,0.05233218881791313
570,123451.96685195017,142267.7153190729,122310.32038453361,0.003101688209822035,0.04850892239174254
571,126584.76951922354,146010.6299357757,130182.43740924215,-0.009297509230629417,0.04469904744167019
572,128408.23452972945,147779.39071186894,127317.62892099477,0.0028472109054298155,0.04090249373268229
573,130535.7676682376,149032.52499564906,135813.987996035,-0.013124555385717966,0.037119191520060824
574,130532.14535919315,149487.36172667265,129574.4111026694,0.0024577393720547716,0.033349071545113684
575,130599.73192711014,148437.2463626961,122909.82182898407,0.02042910274258185,0.029592065030949133
576,128158.67811139586,145621.40253887963,132244.1083423946,-0.010404845384348237,0.025848103678292045
577,125138.15017328264,141130.04380011096,126391.7797323779,-0.0033171673580116305,0.02211711966134633
578,121286.25727599562,137612.70891203868,116441.5229255712,0.01367914810133977,0.018399045623697763
579,116069.4363553541,132232.56754499336,127453.07715180086,-0.03068568682976214,0.014693814674262118
580,111052.79997549496,125224.55969309357,116675.09176223978,-0.016324747624450364,0.011001360383272818
581,106819.66163463425,119117.51077475965,153078.67342118052,-0.1120135282037695,0.007321616778311224
582,115647.113252536,116165.1999245627,503760.3060143229,-0.3455523017852244,0.003654518340376889
583,127619.99192472619,111970.80245782324,606605.5657670483,-0.35723035172895273,0.0
584,105817.57922115068,98451.41601508693,487186.6208815246,-0.35305710273754703,-0.0036420028666088733
585,79574.59702750044,86859.26571919167,225568.19515851303,-0.27509058906337774,-0.007271554441365957
586,68683.8547529287,77262.51238284686,77262.51238284686,-0.03843331702761601,-0.010888718468086367
587,61014.150542409116,68574.97467223929,68574.97467223927,-0.038154358605549075,-0.0144935582562149
588,53679.462540051674,60254.566660567885,66048.27499331482,-0.0665791685645461,-0.018086136684519527
589,47464.33571264571,54466.645941657065,6356.67243790838,0.6831048134915767,-0.02166651620474891
590,41631.708694416186,46696.92982489869,39733.35257030853,0.01567614359254693,-0.025234758845248173
591,36224.92249875781,40421.50758897535,38644.738024624785,-0.021317256284836734,-0.028790926214544932
592,30916.361799527098,35009.116630975856,31950.06760496825,-0.010902172491544165,-0.032335079504890896
593,26312.553987830743,29700.232652262177,39361.75411745591,-0.12423542784717737,-0.035867279495775506
594,22450.399906921433,25217.67254491948,23790.257117848563,-0.019132367859692637,-0.03938758655739827
595,18705.901067406485,21232.195287665912,17461.99238611776,0.02319431902219818,-0.04289606065410734
596,15707.042830065637,17772.827877374566,29621.37979562427,-0.18564874777577378,-0.0463927613478079
597,13010.537876083285,14752.971550235543,16392.190611372822,-0.07384340450502103,-0.049877747801328365
598,10831.771752905623,12412.099477880827,11546.139049191468,-0.021057842427934976,-0.05335107878175993
599,9020.504592371735,10067.702915731417,12106.731354360565,-0.09286362756598554,-0.05681281266375926
600,7441.684831464973,8340.35686635046,8536.60055732341,-0.044663300831391285,-0.06026300743281876
